ABL1,NM_005157
TMEM151B,NM_001137560
TCTE1,NM_182539
AARS2,NM_020745
SPATS1,NM_001372081
CDC5L,NM_001253
SUPT3H,NM_003599
RUNX2,NM_001024630
CLIC5,NM_016929
ENPP4,NM_014936
ENPP5,NM_001290072
RCAN2,NM_001251974
CYP39A1,NM_016593
SLC25A27,NM_004277
TDRD6,NM_001010870
PLA2G7,NM_005084
ANKRD66,NM_001162435
MEP1A,NM_005588
ADGRF5,NM_001098518
ADGRF1,NM_153840
TNFRSF21,NM_014452
CD2AP,NM_012120
ADGRF4,NM_153838
PTCHD4,NM_001384253
MMUT,NM_000255
CENPQ,NM_018132
GLYATL3,NM_001010904
C6orf141,NM_001145652
RHAG,NM_000324
CRISP2,NM_003296
CRISP3,NM_006061
PGK2,NM_138733
CRISP1,NM_001131
DEFB114,NM_001037499
DEFB113,NM_001037729
DEFB110,NM_001037497
DEFB112,NM_001369057
TFAP2D,NM_172238
TFAP2B,NM_003221
PKHD1,NM_138694
IL17A,NM_002190
IL17F,NM_052872
MCM3,NM_002388
PAQR8,NM_133367
EFHC1,NM_018100
TRAM2,NM_012288
TMEM14A,NM_014051
GSTA2,NM_000846
GSTA1,NM_145740
GSTA3,NM_000847
GSTA4,NM_001512
CILK1,NM_014920
FBXO9,NM_033480
GCM1,NM_003643
ELOVL5,NM_021814
GCLC,NM_001498
KLHL31,NM_001003760
LRRC1,NM_018214
MLIP,NM_001281747
TINAG,NM_014464
FAM83B,NM_001010872
HCRTR2,NM_001384272
GFRAL,NM_207410
HMGCLL1,NM_001042406
BMP5,NM_021073
COL21A1,NM_030820
DST,NM_001374736
BEND6,NM_152731
KIAA1586,NM_020931
ZNF451,NM_001031623
BAG2,NM_004282
RAB23,NM_016277
PRIM2,NM_000947
KHDRBS2,NM_152688
LGSN,NM_016571
PHF3,NM_001370348
EYS,NM_001142800
ADGRB3,NM_001704
LMBRD1,NM_018368
COL19A1,NM_001858
COL9A1,NM_001851
FAM135A,NM_001162529
SDHAF4,NM_145267
SMAP1,NM_001044305
B3GAT2,NM_080742
OGFRL1,NM_024576
RIMS1,NM_014989
KCNQ5,NM_019842
KHDC1L,NM_001126063
DPPA5,NM_001025290
KHDC3L,NM_001017361
OOEP,NM_001080507
DDX43,NM_018665
CGAS,NM_138441
MTO1,NM_012123
EEF1A1,NM_001402
SLC17A5,NM_012434
CD109,NM_133493
COL12A1,NM_004370
COX7A2,NM_001366293
TMEM30A,NM_018247
FILIP1,NM_015687
SENP6,NM_015571
MYO6,NM_004999
IMPG1,NM_001563
HTR1B,NM_000863
MEI4,NM_001322247
IRAK1BP1,NM_001010844
PHIP,NM_017934
LCA5,NM_001122769
SH3BGRL2,NM_031469
ELOVL4,NM_022726
TTK,NM_003318
BCKDHB,NM_183050
TENT5A,NM_017633
IBTK,NM_015525
TPBG,NM_001376922
UBE3D,NM_198920
DOP1A,NM_015018
PGM3,NM_015599
RWDD2A,NM_033411
ME1,NM_002395
PRSS35,NM_153362
SNAP91,NM_001242792
RIPPLY2,NM_001009994
CYB5R4,NM_016230
MRAP2,NM_138409
CEP162,NM_014895
TBX18,NM_001080508
NT5E,NM_002526
SNX14,NM_153816
SYNCRIP,NM_006372
HTR1E,NM_000865
CGA,NM_000735
ZNF292,NM_015021
GJB7,NM_198568
SMIM8,NM_001042493
C6orf163,NM_001010868
CFAP206,NM_001031743
SLC35A1,NM_006416
RARS2,NM_020320
ORC3,NM_012381
AKIRIN2,NM_018064
SPACA1,NM_030960
CNR1,NM_016083
RNGTT,NM_003800
SRSF12,NM_080743
PM20D2,NM_001010853
GABRR1,NM_002042
GABRR2,NM_002043
UBE2J1,NM_016021
RRAGD,NM_021244
ANKRD6,NM_001242809
LYRM2,NM_020466
MDN1,NM_014611
GJA10,NM_032602
BACH2,NM_021813
MAP3K7,NM_145331
MANEA,NM_024641
FUT9,NM_006581
UFL1,NM_015323
FHL5,NM_001322466
GPR63,NM_030784
NDUFAF4,NM_014165
KLHL32,NM_052904
MMS22L,NM_001350599
POU3F2,NM_005604
FBXL4,NM_001278716
FAXC,NM_032511
COQ3,NM_017421
PNISR,NM_032870
USP45,NM_001346022
TSTD3,NM_001195131
CCNC,NM_005190
PRDM13,NM_021620
MCHR2,NM_001040179
SIM1,NM_005068
ASCC3,NM_006828
GRIK2,NM_021956
HACE1,NM_020771
LIN28B,NM_001004317
BVES,NM_001199563
POPDC3,NM_022361
PREP,NM_002726
ATG5,NM_004849
CRYBG1,NM_001371242
RTN4IP1,NM_032730
QRSL1,NM_018292
CD24,NM_001359084
MTRES1,NM_016487
BEND3,NM_001367314
PDSS2,NM_020381
SOBP,NM_018013
SCML4,NM_198081
SEC63,NM_007214
OSTM1,NM_014028
NR2E1,NM_003269
SNX3,NM_003795
AFG1L,NM_145315
FOXO3,NM_001455
ARMC2,NM_032131
CEP57L1,NM_001271852
CD164,NM_006016
PPIL6,NM_173672
SMPD2,NM_003080
MICAL1,NM_022765
ZBTB24,NM_014797
AK9,NM_001145128
FIG4,NM_014845
GPR6,NM_005284
WASF1,NM_003931
CDC40,NM_015891
METTL24,NM_001123364
DDO,NM_001372108
SLC22A16,NM_033125
CDK19,NM_015076
AMD1,NM_001634
GTF3C6,NM_138408
RPF2,NM_032194
SLC16A10,NM_018593
MFSD4B,NM_153369
REV3L,NM_001372078
TRAF3IP2,NM_147686
CCN6,NM_198239
TUBE1,NM_016262
FAM229B,NM_001033564
LAMA4,NM_001105206
RFPL4B,NM_001013734
MARCKS,NM_002356
HDAC2,NM_001527
HS3ST5,NM_153612
FRK,NM_002031
NT5DC1,NM_152729
COL10A1,NM_000493
TSPYL4,NM_021648
DSE,NM_013352
TSPYL1,NM_003309
CALHM6,NM_001010919
TRAPPC3L,NM_001139444
CALHM5,NM_153711
CALHM4,NM_001366078
RWDD1,NM_015952
RSPH4A,NM_001010892
ZUP1,NM_145062
KPNA5,NM_001366306
FAM162B,NM_001085480
GPRC6A,NM_148963
RFX6,NM_173560
VGLL2,NM_182645
DCBLD1,NM_001366458
GOPC,NM_020399
NUS1,NM_138459
SLC35F1,NM_001029858
CEP85L,NM_001042475
PLN,NM_002667
MCM9,NM_017696
ASF1A,NM_014034
FAM184A,NM_024581
MAN1A1,NM_005907
TBC1D32,NM_152730
GJA1,NM_000165
HSF2,NM_004506
SERINC1,NM_020755
PKIB,NM_181795
FABP7,NM_001446
SMPDL3A,NM_006714
CLVS2,NM_001010852
TRDN,NM_006073
NKAIN2,NM_001040214
RNF217,NM_001286398
TPD52L1,NM_003287
HDDC2,NM_016063
HEY2,NM_012259
NCOA7,NM_181782
HINT3,NM_138571
TRMT11,NM_001031712
CENPW,NM_001012507
RSPO3,NM_032784
RNF146,NM_001242850
ECHDC1,NM_001002030
KIAA0408,NM_014702
C6orf58,NM_001010905
THEMIS,NM_001010923
PTPRK,NM_002844
LAMA2,NM_000426
ARHGAP18,NM_033515
TMEM244,NM_001010876
L3MBTL3,NM_032438
SAMD3,NM_001017373
TMEM200A,NM_001258277
SMLR1,NM_001195597
EPB41L2,NM_001431
AKAP7,NM_016377
ARG1,NM_000045
MED23,NM_004830
ENPP3,NM_005021
OR2A4,NM_030908
CTAGE9,NM_001145659
ENPP1,NM_006208
CCN2,NM_001901
MOXD1,NM_015529
STX7,NM_003569
TAAR6,NM_175067
TAAR5,NM_003967
TAAR2,NM_001033080
TAAR1,NM_138327
VNN1,NM_004666
VNN2,NM_004665
SLC18B1,NM_052831
RPS12,NM_001016
EYA4,NM_004100
TCF21,NM_003206
TBPL1,NM_004865
SLC2A12,NM_145176
SGK1,NM_001143676
ALDH8A1,NM_022568
HBS1L,NM_006620
MYB,NM_001130173
AHI1,NM_001134831
PDE7B,NM_018945
MTFR2,NM_001099286
BCLAF1,NM_014739
MAP7,NM_003980
MAP3K5,NM_005923
PEX7,NM_000288
SLC35D3,NM_001008783
IL20RA,NM_014432
IL22RA2,NM_052962
OLIG3,NM_175747
PERP,NM_022121
ARFGEF3,NM_020340
PBOV1,NM_021635
SMIM28,NM_001368163
HEBP2,NM_014320
NHSL1,NM_001144060
CCDC28A,NM_015439
ECT2L,NM_001077706
REPS1,NM_001286611
ABRACL,NM_021243
HECA,NM_016217
TXLNB,NM_153235
CITED2,NM_006079
NMBR,NM_002511
VTA1,NM_016485
ADGRG6,NM_198569
HIVEP2,NM_006734
AIG1,NM_016108
ADAT2,NM_182503
PEX3,NM_003630
FUCA2,NM_032020
PHACTR2,NM_001100164
LTV1,NM_032860
ZC2HC1B,NM_001013623
PLAGL1,NM_001317162
SF3B5,NM_031287
STX11,NM_003764
UTRN,NM_007124
EPM2A,NM_005670
FBXO30,NM_032145
SHPRH,NM_001042683
GRM1,NM_001278064
RAB32,NM_006834
ADGB,NM_024694
STXBP5,NM_001127715
SAMD5,NM_001030060
SASH1,NM_015278
UST,NM_005715
TAB2,NM_001292034
SUMO4,NM_001002255
ZC3H12D,NM_207360
PPIL4,NM_139126
GINM1,NM_138785
KATNA1,NM_007044
NUP43,NM_198887
PCMT1,NM_001360452
LRP11,NM_032832
RAET1E,NM_001394057
RAET1G,NM_001001788
ULBP2,NM_025217
ULBP1,NM_025218
RAET1L,NM_130900
ULBP3,NM_024518
PPP1R14C,NM_030949
IYD,NM_203395
MTHFD1L,NM_015440
AKAP12,NM_005100
ZBTB2,NM_020861
RMND1,NM_017909
ARMT1,NM_024573
CCDC170,NM_025059
SYNE1,NM_001347702
MYCT1,NM_025107
VIP,NM_003381
FBXO5,NM_012177
MTRF1L,NM_019041
RGS17,NM_012419
OPRM1,NM_000914
IPCEF1,NM_001130700
CNKSR3,NM_173515
SCAF8,NM_014892
TIAM2,NM_012454
TFB1M,NM_016020
CLDN20,NM_001001346
NOX3,NM_015718
TMEM242,NM_018452
ZDHHC14,NM_024630
SNX9,NM_016224
SYNJ2,NM_003898
SERAC1,NM_032861
GTF2H5,NM_207118
TULP4,NM_020245
TMEM181,NM_001376852
DYNLT1,NM_006519
SYTL3,NM_001242394
EZR,NM_001111077
RSPH3,NM_031924
TAGAP,NM_054114
FNDC1,NM_032532
SOD2,NM_000636
WTAP,NM_001270531
ACAT2,NM_005891
TCP1,NM_030752
MRPL18,NM_014161
PNLDC1,NM_001271862
MAS1,NM_002377
IGF2R,NM_000876
SLC22A1,NM_003057
SLC22A2,NM_003058
SLC22A3,NM_021977
LPA,NM_005577
PLG,NM_000301
MAP3K4,NM_005922
AGPAT4,NM_020133
PRKN,NM_004562
PACRG,NM_001080379
QKI,NM_006775
C6orf118,NM_144980
PDE10A,NM_001385079
TBXT,NM_001366285
PRR18,NM_175922
SFT2D1,NM_145169
MPC1,NM_016098
RPS6KA2,NM_021135
RNASET2,NM_003730
CEP43,NM_007045
CCR6,NM_031409
GPR31,NM_005299
UNC93A,NM_018974
TTLL2,NM_031949
AFDN,NM_001386888
KIF25,NM_030615
FRMD1,NM_024919
DACT2,NM_214462
SMOC2,NM_001166412
THBS2,NM_003247
WDR27,NM_182552
PHF10,NM_018288
DYNLT2,NM_174910
ERMARD,NM_018341
DLL1,NM_005618
FAM120B,NM_032448
PSMB1,NM_002793
TBP,NM_003194
PDCD2,NM_002598
FAM20C,NM_020223
FOXL3,NM_001374838
PRKAR1B,NM_001164760
DNAAF5,NM_017802
SUN1,NM_001130965
GET4,NM_015949
ADAP1,NM_006869
COX19,NM_001031617
CYP2W1,NM_017781
C7orf50,NM_001318252
GPR146,NM_001303473
GPER1,NM_001098201
ZFAND2A,NM_182491
UNCX,NM_001080461
MICALL2,NM_182924
INTS1,NM_001080453
MAFK,NM_002360
TMEM184A,NM_001097620
PSMG3,NM_032302
ELFN1,NM_001128636
MAD1L1,NM_001013836
MRM2,NM_013393
NUDT1,NM_002452
SNX8,NM_013321
EIF3B,NM_001037283
CHST12,NM_018641
GRIFIN,NM_001394787
LFNG,NM_001040167
BRAT1,NM_152743
IQCE,NM_152558
TTYH3,NM_025250
AMZ1,NM_001384743
GNA12,NM_007353
SDK1,NM_152744
FOXK1,NM_001037165
AP5Z1,NM_014855
RADIL,NM_018059
PAPOLB,NM_020144
MMD2,NM_198403
RBAK,NM_021163
WIPI2,NM_015610
SLC29A4,NM_153247
TNRC18,NM_001080495
FBXL18,NM_024963
ACTB,NM_001101
FSCN1,NM_003088
RNF216,NM_207111
OCM,NM_001097622
CCZ1,NM_015622
AIMP2,NM_006303
EIF2AK1,NM_014413
ANKRD61,NM_001271700
USP42,NM_032172
CYTH3,NM_004227
FAM220A,NM_001037163
DAGLB,NM_139179
KDELR2,NM_006854
GRID2IP,NM_001145118
ZDHHC4,NM_001134389
C7orf26,NM_024067
ZNF853,NM_017560
ZNF316,NM_001278559
ZNF12,NM_016265
CCZ1B,NM_198097
C1GALT1,NM_020156
COL28A1,NM_001037763
MIOS,NM_019005
RPA3,NM_002947
UMAD1,NM_001302348
GLCCI1,NM_138426
ICA1,NM_001136020
NXPH1,NM_152745
NDUFA4,NM_002489
PHF14,NM_001007157
THSD7A,NM_015204
TMEM106B,NM_001134232
VWDE,NM_001135924
AC005281.1,NM_001386514
SCIN,NM_001112706
ARL4A,NM_005738
DGKB,NM_001350709
AGMO,NM_001004320
MEOX2,NM_005924
CRPPA,NM_001101426
SOSTDC1,NM_015464
LRRC72,NM_001195280
ANKMY2,NM_020319
BZW2,NM_014038
TSPAN13,NM_014399
AGR2,NM_006408
AGR3,NM_176813
AHR,NM_001621
SNX13,NM_015132
PRPS1L1,NM_175886
HDAC9,NM_178425
TWIST1,NM_000474
FERD3L,NM_152898
POLR1F,NM_001002926
TMEM196,NM_001363562
MACC1,NM_182762
ITGB8,NM_002214
ABCB5,NM_001163941
SP8,NM_182700
SP4,NM_003112
DNAH11,NM_001277115
CDCA7L,NM_018719
RAPGEF5,NM_012294
STEAP1B,NM_001382447
IL6,NM_000600
TOMM7,NM_019059
FAM126A,NM_032581
KLHL7,NM_001031710
NUP42,NM_007342
GPNMB,NM_002510
MALSU1,NM_138446
IGF2BP3,NM_006547
TRA2A,NM_013293
CCDC126,NM_138771
FAM221A,NM_199136
STK31,NM_031414
NPY,NM_000905
PALS2,NM_001303037
GSDME,NM_001127453
OSBPL3,NM_015550
CYCS,NM_018947
C7orf31,NM_138811
NPVF,NM_022150
NFE2L3,NM_004289
HNRNPA2B1,NM_002137
CBX3,NM_016587
SNX10,NM_013322
SKAP2,NM_003930
HOXA1,NM_005522
HOXA2,NM_006735
HOXA3,NM_153631
HOXA4,NM_002141
HOXA5,NM_019102
HOXA6,NM_024014
HOXA7,NM_006896
HOXA9,NM_152739
HOXA10,NM_018951
HOXA11,NM_005523
HOXA13,NM_000522
EVX1,NM_001989
HIBADH,NM_152740
TAX1BP1,NM_006024
JAZF1,NM_175061
CREB5,NM_182898
TRIL,NM_014817
CPVL,NM_031311
CHN2,NM_004067
PRR15,NM_175887
WIPF3,NM_001080529
SCRN1,NM_014766
FKBP14,NM_017946
PLEKHA8,NM_001197026
MTURN,NM_152793
ZNRF2,NM_147128
NOD1,NM_006092
GGCT,NM_024051
GARS1,NM_002047
CRHR2,NM_001883
INMT,NM_006774
MINDY4,NM_032222
AQP1,NM_198098
GHRHR,NM_000823
ADCYAP1R1,NM_001118
NEUROD6,NM_022728
ITPRID1,NM_001257967
PPP1R17,NM_006658
PDE1C,NM_001191057
LSM5,NM_012322
AVL9,NM_015060
KBTBD2,NM_015483
FKBP9,NM_007270
NT5C3A,NM_001002010
RP9,NM_203288
BBS9,NM_198428
BMPER,NM_001365308
NPSR1,NM_207172
DPY19L1,NM_001366673
TBX20,NM_001077653
HERPUD2,NM_022373
SEPTIN7,NM_001788
EEPD1,NM_030636
KIAA0895,NM_001199706
ANLN,NM_018685
AOAH,NM_001637
ELMO1,NM_014800
GPR141,NM_001381946
EPDR1,NM_017549
NME8,NM_016616
SFRP4,NM_003014
STARD3NL,NM_032016
AMPH,NM_001635
VPS41,NM_014396
POU6F2,NM_001370959
YAE1,NM_020192
RALA,NM_005402
CDK13,NM_003718
MPLKIP,NM_138701
SUGCT,NM_001193313
GLI3,NM_000168
C7orf25,NM_001099858
PSMA2,NM_002787
MRPL32,NM_031903
HECW1,NM_015052
STK17A,NM_004760
COA1,NM_018224
BLVRA,NM_000712
MRPS24,NM_032014
URGCP,NM_001077663
UBE2D4,NM_015983
SPDYE1,NM_001378423
DBNL,NM_001014436
PGAM2,NM_000290
POLM,NM_013284
AEBP1,NM_001129
POLD2,NM_006230
MYL7,NM_021223
GCK,NM_000162
YKT6,NM_006555
CAMK2B,NM_001220
NUDCD3,NM_015332
NPC1L1,NM_001101648
DDX56,NM_019082
TMED4,NM_182547
OGDH,NM_002541
ZMIZ2,NM_031449
PPIA,NM_021130
H2AZ2,NM_012412
PURB,NM_033224
MYO1G,NM_033054
CCM2,NM_031443
NACAD,NM_001146334
TBRG4,NM_004749
RAMP3,NM_005856
ADCY1,NM_021116
IGFBP1,NM_000596
IGFBP3,NM_000598
TNS3,NM_022748
PKD1L1,NM_138295
HUS1,NM_004507
SUN3,NM_001030019
C7orf57,NM_001100159
UPP1,NM_003364
ABCA13,NM_152701
CDC14C,NM_152627
VWC2,NM_198570
ZPBP,NM_007009
SPATA48,NM_001161834
FIGNL1,NM_001287492
DDC,NM_001082971
GRB10,NM_001350814
COBL,NM_015198
POM121L12,NM_182595
VSTM2A,NM_001301009
SEC61G,NM_014302
LANCL2,NM_018697
VOPP1,NM_030796
SEPTIN14,NM_207366
ZNF713,NM_182633
NIPSNAP2,NM_001483
MRPS17,NM_015969
PSPH,NM_004577
CCT6A,NM_001762
SUMF2,NM_015411
PHKG1,NM_006213
CHCHD2,NM_016139
NUPR2,NM_001145712
ZNF479,NM_001370129
ZNF716,NM_001159279
ZNF727,NM_001159522
ZNF679,NM_153363
ZNF736,NM_001170905
ZNF680,NM_178558
ZNF107,NM_001282359
ZNF138,NM_001271639
ZNF273,NM_021148
ERV3-1,NM_001007253
ZNF92,NM_152626
VKORC1L1,NM_173517
GUSB,NM_000181
ASL,NM_000048
CRCP,NM_014478
TPST1,NM_003596
KCTD7,NM_153033
RABGEF1,NM_014504
TMEM248,NM_017994
SBDS,NM_016038
TYW1,NM_018264
SPDYE21,NM_001382715
AUTS2,NM_015570
GALNT17,NM_022479
CALN1,NM_031468
TYW1B,NM_001145440
POM121,NM_001387691
TRIM74,NM_198853
SPDYE8,NM_001382525
SPDYE11,NM_001351349
SPDYE9,NM_001382554
SPDYE10P,NM_001382505
NSUN5,NM_148956
TRIM50,NM_178125
FKBP6,NM_003602
FZD9,NM_003508
BAZ1B,NM_032408
BCL7B,NM_001707
TBL2,NM_012453
MLXIPL,NM_032951
VPS37D,NM_001077621
DNAJC30,NM_032317
BUD23,NM_017528
STX1A,NM_004603
ABHD11,NM_148912
CLDN3,NM_001306
CLDN4,NM_001305
METTL27,NM_152559
TMEM270,NM_182504
ELN,NM_000501
LIMK1,NM_002314
EIF4H,NM_022170
LAT2,NM_032464
RFC2,NM_181471
CLIP2,NM_003388
GTF2IRD1,NM_005685
GTF2I,NM_032999
NCF1,NM_000265
GTF2IRD2,NM_173537
CASTOR2,NM_001145064
RCC1L,NM_030798
GTF2IRD2B,NM_001003795
SPDYE13,NM_001382563
SPDYE15,NM_001382547
POM121C,NM_001099415
SPDYE5,NM_001306141
HIP1,NM_005338
CCL26,NM_001371938
CCL24,NM_002991
RHBDD2,NM_001040456
POR,NM_000941
TMEM120A,NM_031925
STYXL1,NM_001317785
MDH2,NM_005918
SRRM3,NM_001110199
HSPB1,NM_001540
YWHAG,NM_012479
SSC4D,NM_080744
ZP3,NM_001110354
DTX2,NM_001102594
UPK3B,NM_001347684
SPDYE16,NM_001394943
POMZP3,NM_012230
SPDYE17,NM_001351351
SPDYE18,NM_001394953
CCDC146,NM_020879
FGL2,NM_006682
GSAP,NM_017439
PTPN12,NM_002835
RSBN1L,NM_198467
TMEM60,NM_032936
MAGI2,NM_012301
GNAI1,NM_002069
CD36,NM_001001548
GNAT3,NM_001102386
SEMA3C,NM_006379
CACNA2D1,NM_000722
PCLO,NM_033026
SEMA3E,NM_012431
SEMA3A,NM_006080
SEMA3D,NM_001384900
GRM3,NM_000840
ELAPOR2,NM_001142749
DMTF1,NM_001142327
TMEM243,NM_024315
CROT,NM_021151
ABCB4,NM_000443
ABCB1,NM_001348946
RUNDC3B,NM_001134405
SLC25A40,NM_018843
DBF4,NM_006716
ADAM22,NM_001324418
SRI,NM_003130
STEAP4,NM_024636
ZNF804B,NM_181646
TEX47,NM_152706
STEAP1,NM_012449
STEAP2,NM_001244944
CFAP69,NM_001039706
FAM237B,NM_001384237
GTPBP10,NM_033107
CLDN12,NM_001185072
CDK14,NM_001287135
PTTG1IP2,NM_001365443
FZD1,NM_003505
MTERF1,NM_006980
AKAP9,NM_005751
CYP51A1,NM_000786
LRRD1,NM_001161528
KRIT1,NM_194454
ANKIB1,NM_019004
GATAD1,NM_021167
ERVW-1,NM_001130925
PEX1,NM_000466
RBM48,NM_032120
FAM133B,NM_152789
SAMD9,NM_017654
SAMD9L,NM_152703
HEPACAM2,NM_001039372
VPS50,NM_017667
CALCR,NM_001742
GNGT1,NM_021955
TFPI2,NM_006528
GNG11,NM_004126
BET1,NM_005868
COL1A2,NM_000089
CASD1,NM_022900
SGCE,NM_003919
PPP1R9A,NM_001166160
PON1,NM_000446
PON3,NM_000940
PON2,NM_000305
ASB4,NM_016116
PDK4,NM_002612
DYNC1I1,NM_001135556
SLC25A13,NM_014251
SEM1,NM_006304
DLX6,NM_005222
DLX5,NM_005221
SDHAF3,NM_020186
TAC1,NM_003182
ASNS,NM_001673
LMTK2,NM_014916
BHLHA15,NM_177455
TECPR1,NM_015395
BRI3,NM_015379
BAIAP2L1,NM_018842
NPTX2,NM_002523
TMEM130,NM_152913
TRRAP,NM_001375524
SMURF1,NM_181349
KPNA7,NM_001145715
ARPC1A,NM_006409
ARPC1B,NM_005720
PDAP1,NM_014891
BUD31,NM_003910
PTCD1,NM_015545
CPSF4,NM_006693
ATP5MF,NM_004889
ZNF789,NM_213603
ZNF394,NM_032164
ZKSCAN5,NM_145102
FAM200A,NM_145111
ZNF655,NM_138494
TMEM225B,NM_001195541
ZSCAN25,NM_145115
CYP3A5,NM_000777
CYP3A7,NM_000765
CYP3A4,NM_017460
CYP3A43,NM_057095
OR2AE1,NM_001005276
TRIM4,NM_033091
GJC3,NM_181538
AZGP1,NM_001185
ZKSCAN1,NM_003439
ZSCAN21,NM_145914
ZNF3,NM_032924
COPS6,NM_006833
MCM7,NM_005916
AP4M1,NM_004722
TAF6,NM_139315
CNPY4,NM_152755
MBLAC1,NM_203397
LAMTOR4,NM_001008395
TRAPPC14,NM_018275
GAL3ST4,NM_024637
GPC2,NM_152742
STAG3,NM_001282717
SPDYE3,NM_001004351
PILRB,NM_178238
PILRA,NM_013439
ZCWPW1,NM_001386010
MEPCE,NM_019606
PPP1R35,NM_145030
C7orf61,NM_001004323
TSC22D4,NM_030935
NYAP1,NM_173564
AGFG2,NM_006076
SAP25,NM_001348680
LRCH4,NM_002319
FBXO24,NM_033506
PCOLCE,NM_002593
MOSPD3,NM_023948
TFR2,NM_003227
ACTL6B,NM_016188
GNB2,NM_005273
GIGYF1,NM_001375765
POP7,NM_005837
EPO,NM_000799
ZAN,NM_003386
EPHB4,NM_004444
SLC12A9,NM_020246
TRIP6,NM_003302
SRRT,NM_015908
UFSP1,NM_001015072
ACHE,NM_000665
MUC3A,NM_005960
MUC12,NM_001164462
MUC17,NM_001040105
TRIM56,NM_030961
SERPINE1,NM_000602
AP1S1,NM_001283
VGF,NM_003378
NAT16,NM_198571
MOGAT3,NM_178176
PLOD3,NM_001084
ZNHIT1,NM_006349
CLDN15,NM_014343
FIS1,NM_016068
IFT22,NM_022777
COL26A1,NM_001278563
MYL10,NM_138403
CUX1,NM_001913
SH2B2,NM_001359228
SPDYE6,NM_001146210
PRKRIP1,NM_024653
ORAI2,NM_001126340
ALKBH4,NM_017621
LRWD1,NM_152892
POLR2J,NM_006234
RASA4B,NM_001367767
RASA4,NM_006989
UPK3BL1,NM_001114403
SPDYE2B,NM_001166339
FAM185A,NM_001145268
LRRC17,NM_001031692
ARMC10,NM_031905
NAPEPLD,NM_001122838
PMPCB,NM_004279
DNAJC2,NM_014377
PSMC2,NM_002803
SLC26A5,NM_198999
RELN,NM_005045
ORC5,NM_002553
LHFPL3,NM_199000
KMT2E,NM_182931
SRPK2,NM_182692
PUS7,NM_019042
RINT1,NM_021930
EFCAB10,NM_001355526
ATXN7L1,NM_020725
CDHR3,NM_152750
SYPL1,NM_182715
NAMPT,NM_005746
CCDC71L,NM_175884
PRKAR2B,NM_002736
HBP1,NM_012257
COG5,NM_006348
GPR22,NM_005295
DUS4L,NM_181581
BCAP29,NM_018844
SLC26A4,NM_000441
CBLL1,NM_024814
SLC26A3,NM_000111
DLD,NM_000108
LAMB1,NM_002291
LAMB4,NM_007356
NRCAM,NM_001037132
PNPLA8,NM_001256007
THAP5,NM_001130475
DNAJB9,NM_012328
IMMP2L,NM_032549
LRRN3,NM_001099658
DOCK4,NM_001363540
ZNF277,NM_021994
IFRD1,NM_001550
LSMEM1,NM_182597
TMEM168,NM_022484
BMT2,NM_152556
GPR85,NM_001146267
SMIM30,NM_001352688
PPP1R3A,NM_002711
FOXP2,NM_014491
MDFIC,NM_001166345
TFEC,NM_012252
TES,NM_015641
CAV2,NM_001233
CAV1,NM_001753
CAPZA2,NM_006136
ST7,NM_001369598
WNT2,NM_003391
CFTR,NM_000492
ASZ1,NM_130768
CTTNBP2,NM_033427
LSM8,NM_016200
ANKRD7,NM_019644
KCND2,NM_012281
TSPAN12,NM_012338
ING3,NM_019071
CPED1,NM_024913
WNT16,NM_057168
FAM3C,NM_014888
PTPRZ1,NM_002851
AASS,NM_005763
FEZF1,NM_001024613
CADPS2,NM_017954
RNF133,NM_139175
RNF148,NM_198085
TAS2R16,NM_016945
SLC13A1,NM_022444
IQUB,NM_178827
NDUFA5,NM_005000
ASB15,NM_001290258
LMOD2,NM_207163
WASL,NM_003941
HYAL4,NM_012269
SPAM1,NM_153189
TMEM229A,NM_001136002
GPR37,NM_005302
POT1,NM_015450
GRM8,NM_000845
ZNF800,NM_176814
GCC1,NM_024523
ARF5,NM_001662
FSCN3,NM_020369
PAX4,NM_001366110
SND1,NM_014390
LRRC4,NM_022143
LEP,NM_000230
RBM28,NM_018077
IMPDH1,NM_000883
HILPDA,NM_013332
METTL2B,NM_018396
FAM71F2,NM_001128926
CALU,NM_001219
OPN1SW,NM_001385125
CCDC136,NM_022742
FLNC,NM_001458
KCP,NM_001366122
ATP6V1F,NM_004231
ATP6V1FNB,NM_001195150
IRF5,NM_001098629
TNPO3,NM_012470
TSPAN33,NM_178562
AHCYL2,NM_015328
STRIP2,NM_020704
SMKR1,NM_001195243
NRF1,NM_005011
UBE2H,NM_003344
ZC3HC1,NM_016478
KLHDC10,NM_014997
TMEM209,NM_032842
SSMEM1,NM_145268
CPA2,NM_001869
CPA4,NM_016352
CPA5,NM_080385
CPA1,NM_001868
CEP41,NM_018718
MEST,NM_002402
COPG2,NM_012133
TSGA13,NM_052933
KLF14,NM_138693
MKLN1,NM_013255
PODXL,NM_001018111
PLXNA4,NM_020911
CHCHD3,NM_017812
EXOC4,NM_021807
SLC35B4,NM_032826
AKR1B1,NM_001628
AKR1B10,NM_020299
AKR1B15,NM_001080538
BPGM,NM_001724
CALD1,NM_033138
AGBL3,NM_178563
CYREN,NM_024033
TMEM140,NM_018295
WDR91,NM_014149
STRA8,NM_001394401
CNOT4,NM_001190850
NUP205,NM_015135
STMP1,NM_001130929
SLC13A4,NM_001318192
FAM180A,NM_205855
MTPN,NM_145808
CHRM2,NM_001006630
PTN,NM_002825
DGKI,NM_001321708
